Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Quantization,ResNet18,Agriculture,90.1,87.8,79.1,52.1,464.8,279.6,10.2,Mid-Range,Poor,West Bengal
Knowledge Distillation,EfficientNet,Education,87.1,85.2,4.1,2.9,179.1,137.1,30.5,Mid-Range,Poor,Bihar
Weight Sharing,EfficientNet,Education,88.1,85.4,38.7,19.8,233.1,140.9,34.2,Mid-Range,Good,Andhra Pradesh
Pruning,ResNet18,Agriculture,84.9,82.7,36.5,25.1,382.6,195.5,13.8,Low-End,Good,Tamil Nadu
Quantization,SqueezeNet,Education,93.2,92.6,25.8,17.5,204.8,124.4,36.4,Mid-Range,Poor,Manipur
Knowledge Distillation,ResNet18,Education,90.9,88.5,56.9,24,188.7,103.8,22.7,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,EfficientNet,Agriculture,92.5,90.3,35.3,23,452.1,347.8,21.5,Mid-Range,Poor,Jharkhand
Pruning,MobileNet,Agriculture,87.8,86.7,21.1,12.3,167.6,91.7,14.9,Low-End,Poor,Jharkhand
Quantization,EfficientNet,Agriculture,83.2,81.3,16.5,10.2,223.1,164.5,28.3,Low-End,Moderate,Assam
Knowledge Distillation,EfficientNet,Healthcare,89.7,87.3,86.2,51.4,189.5,136.9,25.4,Mid-Range,Moderate,West Bengal
Weight Sharing,ResNet18,Agriculture,90.8,90.1,43.3,21.2,169.1,100.5,13.3,Low-End,Moderate,Assam
Pruning,EfficientNet,Agriculture,91.1,88.7,87.2,48.7,369.9,274.3,22,Mid-Range,Moderate,West Bengal
Quantization,ResNet18,Healthcare,84.9,82.1,76.3,45,403.7,248.2,29,Mid-Range,Good,Manipur
Knowledge Distillation,MobileNetV2,Healthcare,89.5,88.6,54.7,20.7,279.8,147,23,Low-End,Moderate,Manipur
Weight Sharing,MobileNetV2,Education,84.7,82.5,72.5,47.4,288.7,226.4,32.5,Mid-Range,Moderate,Andhra Pradesh
Pruning,MobileNet,Agriculture,93.2,90.5,84.8,57.3,189.2,99.3,16.3,Mid-Range,Good,Assam
Quantization,ResNet18,Education,92.1,90.3,15.1,8.4,347,199.7,35.1,Low-End,Moderate,Odisha
Knowledge Distillation,ResNet18,Healthcare,84.1,82.1,8.8,6,192.9,148.3,12.1,Low-End,Poor,Uttar Pradesh
Weight Sharing,EfficientNet,Agriculture,87,84.9,77.2,41.5,413.6,257.6,21.2,Low-End,Poor,Rajasthan
Pruning,ResNet18,Education,84.2,82.5,29.6,19.6,538.9,328.6,14.6,Low-End,Moderate,Rajasthan
Quantization,EfficientNet,Education,91.2,90.6,79.6,25.1,487.1,322.8,37.9,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,SqueezeNet,Agriculture,85.2,84.3,22,8.1,574.9,304,21.8,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,ResNet50,Education,86.4,85.7,67.8,29.7,432.2,299.7,21.6,Low-End,Good,Chhattisgarh
Pruning,EfficientNet,Agriculture,89,86.6,66.8,30,493.2,349.8,29.7,Low-End,Moderate,Assam
Quantization,ResNet50,Healthcare,91.7,90.2,52.8,26.6,390.4,202.4,38,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,SqueezeNet,Agriculture,89.9,87.3,11.3,4.8,466,362.8,30.8,Low-End,Moderate,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,86.6,83.8,32.5,17.5,369.5,267.2,37.6,Low-End,Good,Andhra Pradesh
Pruning,SqueezeNet,Education,89.7,89.1,57.1,26.9,196.2,144.4,33.3,Mid-Range,Moderate,Manipur
Quantization,SqueezeNet,Agriculture,91.9,89.7,60.6,27.1,397.7,248.3,20.6,Low-End,Poor,Rajasthan
Knowledge Distillation,MobileNetV2,Education,91.2,89.2,6.9,3.8,385.6,299.8,11.8,Mid-Range,Good,Rajasthan
Weight Sharing,MobileNet,Agriculture,86.4,83.5,89.1,41.2,586.2,356.2,30.4,Mid-Range,Poor,Uttar Pradesh
Pruning,MobileNetV2,Healthcare,86.2,85.1,33.3,20.6,411.6,245.7,33,Low-End,Poor,Odisha
Quantization,MobileNetV2,Agriculture,89.3,87.3,60.6,35.6,214.5,159.4,38.6,Mid-Range,Good,Andhra Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,92.8,90,93.6,55.8,461,288.4,26.2,Low-End,Poor,Uttar Pradesh
Weight Sharing,ResNet18,Healthcare,86,83.1,81,27.8,587,403.7,34.3,Low-End,Good,Jharkhand
Pruning,MobileNet,Education,92.1,89.5,33.7,22.4,536.5,422,12.9,Mid-Range,Poor,Madhya Pradesh
Quantization,MobileNet,Agriculture,87.9,85.8,82.7,50.1,530.5,390,18.3,Low-End,Moderate,Odisha
Knowledge Distillation,SqueezeNet,Agriculture,86.6,84.1,6.3,2,599.1,409.6,12.1,Mid-Range,Moderate,Rajasthan
Weight Sharing,SqueezeNet,Healthcare,87.3,85,15.6,6,299.8,168.9,10.8,Low-End,Poor,Tamil Nadu
Pruning,MobileNetV2,Healthcare,88.1,85.6,15,7,279.5,214.9,32.1,Low-End,Poor,Odisha
Quantization,ResNet50,Education,91.7,89.8,38.8,16.7,387.1,218.7,25.6,Mid-Range,Moderate,Assam
Knowledge Distillation,SqueezeNet,Healthcare,86.4,84.5,56.6,31.8,341.8,187.8,34.6,Mid-Range,Moderate,Jharkhand
Weight Sharing,MobileNetV2,Healthcare,90.8,89.4,29.9,15.5,281.5,193.5,38.1,Mid-Range,Moderate,West Bengal
Pruning,SqueezeNet,Agriculture,84.5,82.4,38.9,14.2,590.2,327.6,19,Mid-Range,Poor,Rajasthan
Quantization,EfficientNet,Education,90,87.6,45.8,25,286.2,210.1,14.5,Mid-Range,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Education,89,88.2,26.5,13.5,390.8,297.5,34.5,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,MobileNetV2,Education,86.9,85.9,45.8,29.6,298.6,170.2,21.4,Mid-Range,Moderate,Rajasthan
Pruning,MobileNetV2,Agriculture,89.2,86.9,91.7,35.9,270,144.5,28.4,Low-End,Poor,Manipur
Quantization,EfficientNet,Agriculture,85.1,83.7,5.4,2.4,215.5,138.5,20.9,Low-End,Moderate,Andhra Pradesh
Knowledge Distillation,ResNet18,Agriculture,89.8,88.3,72.7,30.1,420.7,272.5,30.6,Low-End,Good,Tamil Nadu
Weight Sharing,MobileNetV2,Agriculture,94,93.4,54,32.8,182.6,143,35.8,Low-End,Moderate,Andhra Pradesh
Pruning,EfficientNet,Healthcare,88,86.8,37.4,11.6,444.9,242.7,22.8,Mid-Range,Moderate,Tamil Nadu
Quantization,EfficientNet,Agriculture,90.6,89.4,67.5,33,599.9,421.1,27.6,Mid-Range,Poor,Assam
Knowledge Distillation,SqueezeNet,Education,88.5,85.7,76.5,52.3,586.6,416.8,29.5,Low-End,Moderate,Chhattisgarh
Weight Sharing,SqueezeNet,Healthcare,86.5,83.8,44.4,15.6,298.9,219,24.8,Low-End,Moderate,Uttar Pradesh
Pruning,SqueezeNet,Agriculture,94,93,65.3,45.4,222.3,150.1,27.7,Mid-Range,Poor,Odisha
Quantization,SqueezeNet,Education,85.6,82.8,32.1,19,529.3,417.8,26.3,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,83.3,82.3,12.3,5.4,257.2,138.4,32.1,Mid-Range,Good,Bihar
Weight Sharing,MobileNet,Education,90,89.1,90.3,49,381.7,211.5,12.3,Mid-Range,Moderate,Assam
Pruning,EfficientNet,Healthcare,87.2,86.6,12.2,5.8,298.6,166.7,14.3,Low-End,Poor,Odisha
Quantization,MobileNet,Healthcare,87.2,86.3,64.3,21.7,162.6,108.5,26.1,Mid-Range,Good,West Bengal
Knowledge Distillation,ResNet50,Education,85.7,85.2,80.4,56.3,299.5,162.9,29.8,Mid-Range,Moderate,Jharkhand
Weight Sharing,ResNet18,Healthcare,84.9,83,47.3,28.5,309.6,215.5,12.8,Mid-Range,Moderate,Madhya Pradesh
Pruning,ResNet18,Healthcare,92.3,90.2,71,46.7,271.2,162.3,19.1,Mid-Range,Good,West Bengal
Quantization,ResNet18,Agriculture,93.6,91.6,34,10.2,182.6,116.3,27.2,Low-End,Moderate,Andhra Pradesh
Knowledge Distillation,MobileNetV2,Agriculture,88.3,86.8,84.2,49.5,453.6,257.1,12.8,Low-End,Poor,Bihar
Weight Sharing,ResNet18,Education,87.4,85.1,29.5,17.2,344.5,212.2,17.4,Mid-Range,Moderate,Odisha
Pruning,EfficientNet,Agriculture,92.3,89.9,65.2,25,528.5,382.5,35,Mid-Range,Moderate,Rajasthan
Quantization,MobileNetV2,Agriculture,88.8,87.9,70.8,27.6,233.1,147.5,11.1,Mid-Range,Moderate,Uttar Pradesh
Knowledge Distillation,ResNet18,Healthcare,90.3,89.2,44.7,27.1,305.6,242.4,12.2,Mid-Range,Good,Madhya Pradesh
Weight Sharing,SqueezeNet,Education,91.5,89.3,52.6,27.7,311.8,230.9,11,Low-End,Moderate,Assam
Pruning,SqueezeNet,Education,90.6,88.8,95.8,44.2,513.5,276.2,39.7,Low-End,Moderate,Manipur
Quantization,ResNet18,Healthcare,92.7,90.7,74.9,36,368.4,254.7,35.8,Mid-Range,Good,Manipur
Knowledge Distillation,MobileNet,Healthcare,86.1,84.4,87,54.4,368.5,223.4,39.2,Mid-Range,Moderate,Uttar Pradesh
Weight Sharing,ResNet50,Healthcare,93.6,91.9,37.2,16.2,409.2,314.8,35.4,Mid-Range,Good,Madhya Pradesh
Pruning,MobileNetV2,Agriculture,89.5,88.4,87.1,29.1,550.4,401.6,24.5,Mid-Range,Good,Andhra Pradesh
Quantization,ResNet50,Agriculture,83.4,81.7,40.6,22.5,568.5,381.3,27.8,Low-End,Good,Andhra Pradesh
Knowledge Distillation,MobileNetV2,Agriculture,87,84.2,38.6,15,448.6,333,15.6,Low-End,Poor,Jharkhand
Weight Sharing,MobileNet,Education,87.3,84.3,43.2,19,296.4,155.8,18.9,Mid-Range,Poor,Odisha
Pruning,ResNet18,Agriculture,84.7,83.7,62.7,19,568.8,311.4,24.9,Low-End,Good,Tamil Nadu
Quantization,SqueezeNet,Healthcare,88.5,85.6,58.8,21.4,447.9,309.8,23.5,Low-End,Moderate,West Bengal
Knowledge Distillation,ResNet18,Healthcare,88.6,87.3,25.1,13,216.7,138,21.1,Low-End,Moderate,Madhya Pradesh
Weight Sharing,ResNet18,Education,90.5,88.1,44.2,26.3,425.9,213,10.3,Mid-Range,Moderate,Chhattisgarh
Pruning,ResNet18,Education,90.2,87.3,49.3,15,562.9,440.3,28.8,Low-End,Moderate,Assam
Quantization,SqueezeNet,Agriculture,86.5,84.8,40.5,20,399.9,271,25.5,Low-End,Good,Manipur
Knowledge Distillation,ResNet18,Agriculture,89.7,89,71.2,43.3,220.5,126.4,39.5,Mid-Range,Good,Uttar Pradesh
Weight Sharing,SqueezeNet,Healthcare,93.5,90.6,21.9,9.7,185.2,113,26.8,Mid-Range,Good,Rajasthan
Pruning,EfficientNet,Healthcare,91.9,90.6,16.1,9.6,327.7,251,22.5,Mid-Range,Moderate,Tamil Nadu
Quantization,SqueezeNet,Healthcare,92.6,90.5,74.6,43.2,150.6,116.2,31.3,Mid-Range,Poor,Odisha
Knowledge Distillation,ResNet18,Agriculture,91.8,91.1,78.2,48.4,249.2,195.6,38.4,Low-End,Poor,Rajasthan
Weight Sharing,MobileNetV2,Agriculture,83.8,82.9,47.7,24.8,553,353.6,26.1,Low-End,Moderate,Assam
Pruning,ResNet50,Education,92.3,91.3,51.3,26.9,262.2,173.4,29.2,Low-End,Good,Andhra Pradesh
Quantization,EfficientNet,Healthcare,90.3,87.6,9.4,5.8,207.8,126.7,25.7,Mid-Range,Good,Odisha
Knowledge Distillation,ResNet50,Agriculture,84.2,83,58.8,18.9,470.1,369,15.1,Low-End,Poor,Andhra Pradesh
Weight Sharing,MobileNetV2,Agriculture,88.1,86.7,70.5,23.1,586.5,328.5,36.5,Low-End,Good,Manipur
Pruning,ResNet18,Agriculture,88,85.2,40,24.6,332.6,239,20.5,Low-End,Good,Jharkhand
Quantization,SqueezeNet,Healthcare,84.9,83.8,77.8,49.9,546.6,313.6,15.8,Low-End,Moderate,Odisha
Knowledge Distillation,EfficientNet,Agriculture,84.1,82.8,53.8,17.6,570,378.4,38.2,Low-End,Good,West Bengal
Weight Sharing,EfficientNet,Agriculture,90,87.3,75.3,40.2,265.7,211,14.8,Mid-Range,Poor,Bihar
Pruning,ResNet50,Agriculture,83.5,82.5,63,32.1,296.6,156,30.3,Low-End,Moderate,Rajasthan
Quantization,ResNet50,Education,88,86.1,12.3,7.2,264.9,139,16.7,Low-End,Poor,Assam
Knowledge Distillation,ResNet18,Education,89.8,87,57.8,24.1,579,455.7,39.7,Low-End,Poor,Uttar Pradesh
Weight Sharing,MobileNetV2,Healthcare,83.2,82.5,61.4,25,208.4,131.1,25.6,Low-End,Moderate,West Bengal
Pruning,ResNet18,Education,83.5,81.7,24.9,11.9,552,398.7,32.4,Mid-Range,Good,Tamil Nadu
Quantization,MobileNet,Agriculture,87.4,84.6,78.5,41.8,355.2,182.4,21.3,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNet,Education,86.9,86,72.9,24.8,569.3,422.2,25.8,Mid-Range,Poor,Chhattisgarh
Weight Sharing,MobileNet,Education,93.2,92.3,29.4,20.4,238.5,144.3,38.6,Mid-Range,Moderate,Madhya Pradesh
Pruning,MobileNet,Healthcare,84.9,84.1,90.2,37.5,272.9,146.5,22.9,Low-End,Poor,Andhra Pradesh
Quantization,ResNet50,Agriculture,84.5,81.7,92.9,37.3,577.3,407,37.6,Low-End,Good,Chhattisgarh
Knowledge Distillation,MobileNet,Agriculture,86.2,83.4,15.7,6.8,265.3,149.3,39.5,Low-End,Moderate,Rajasthan
Weight Sharing,EfficientNet,Agriculture,90.8,90.1,11.3,5.6,535,294,17.3,Low-End,Poor,Chhattisgarh
Pruning,EfficientNet,Agriculture,85.2,83.6,84.4,42.3,183.9,98.2,20.3,Mid-Range,Good,Madhya Pradesh
Quantization,MobileNetV2,Agriculture,84.9,83,59.7,24.5,579.4,303.9,28.2,Low-End,Moderate,West Bengal
Knowledge Distillation,ResNet50,Agriculture,84.3,82,52.8,25.5,184,124,14.4,Low-End,Moderate,Chhattisgarh
Weight Sharing,MobileNetV2,Agriculture,86,85,87.9,28.1,322.3,171.6,35.4,Low-End,Good,Bihar
Pruning,EfficientNet,Healthcare,91.5,89.4,54.2,23.2,488.2,313.2,26.6,Low-End,Moderate,Bihar
Quantization,MobileNet,Education,91.9,90.7,90.2,47.8,359.7,258.2,39.1,Low-End,Moderate,Manipur
Knowledge Distillation,ResNet18,Agriculture,93.9,92.2,21,7.6,264.1,195.5,24.3,Mid-Range,Good,Manipur
Weight Sharing,MobileNetV2,Healthcare,84.7,83.6,84.1,53.6,546.3,422.9,18.8,Mid-Range,Poor,Manipur
Pruning,EfficientNet,Agriculture,90,89.5,76.1,34.1,204.3,124,35.9,Mid-Range,Good,Rajasthan
Quantization,MobileNetV2,Education,88.4,86.9,6.8,2.4,557.9,328.8,29,Low-End,Poor,Chhattisgarh
Knowledge Distillation,ResNet50,Education,87,85.2,73,27.6,220.5,132.9,10.3,Mid-Range,Good,Bihar
Weight Sharing,MobileNetV2,Agriculture,84.1,83.6,41.9,24.6,262.4,195.5,15.6,Mid-Range,Moderate,Rajasthan
Pruning,SqueezeNet,Education,91.4,89.7,29,15.9,258.2,145.6,35.7,Low-End,Moderate,Andhra Pradesh
Quantization,EfficientNet,Agriculture,89.5,88.9,69.1,37.3,475.8,261.9,32.7,Mid-Range,Moderate,Chhattisgarh
Knowledge Distillation,EfficientNet,Agriculture,88.8,87.5,85.3,54.6,561.1,446.5,22.3,Mid-Range,Good,Tamil Nadu
Weight Sharing,MobileNet,Healthcare,89,86.9,12.8,8.3,575.9,334.3,15.1,Mid-Range,Good,Tamil Nadu
Pruning,EfficientNet,Education,93.1,91.3,62.5,41.9,583,460.2,36.2,Low-End,Good,Andhra Pradesh
Quantization,ResNet50,Agriculture,90.6,89.1,25.4,14.9,393,249,27.2,Mid-Range,Moderate,Bihar
Knowledge Distillation,MobileNet,Healthcare,93.4,91.8,33.1,22.9,278.7,174.8,36.3,Mid-Range,Good,Jharkhand
Weight Sharing,SqueezeNet,Agriculture,91.1,89.7,49.2,24.9,356.9,214.9,25.1,Low-End,Moderate,Jharkhand
Pruning,ResNet50,Healthcare,91.9,90.4,36,24.5,421.4,269,26.4,Mid-Range,Poor,Bihar
Quantization,MobileNetV2,Healthcare,92.7,91.7,65.8,37.3,432.9,279.7,25.9,Mid-Range,Moderate,Odisha
Knowledge Distillation,ResNet18,Healthcare,91.1,89.1,22.5,10.3,526,273.2,19.7,Mid-Range,Poor,Tamil Nadu
Weight Sharing,SqueezeNet,Healthcare,84.5,82.7,75.8,25.1,213.2,119.9,27,Mid-Range,Good,Odisha
Pruning,ResNet50,Education,86,84.8,17.6,6.3,574,386.3,39.5,Mid-Range,Good,Chhattisgarh
Quantization,EfficientNet,Agriculture,84.2,82.8,93.1,58.6,453.1,335.4,23.2,Mid-Range,Good,Jharkhand
Knowledge Distillation,SqueezeNet,Agriculture,83.7,82.3,9.9,5.9,268.3,143,34.2,Mid-Range,Poor,Chhattisgarh
Weight Sharing,ResNet50,Education,84.7,84,87.4,40.1,176.6,133.6,29.8,Low-End,Good,West Bengal
Pruning,EfficientNet,Agriculture,85,83.4,24.2,15.6,238.7,178.8,29.3,Mid-Range,Good,Andhra Pradesh
Quantization,ResNet50,Education,92.8,92.1,49.6,28.7,248.8,173.6,22.3,Low-End,Good,Assam
Knowledge Distillation,SqueezeNet,Agriculture,83.5,82.8,97.2,42.3,238.6,160.6,37.4,Low-End,Poor,Bihar
Weight Sharing,MobileNetV2,Education,87.4,86.2,73.2,30.1,199.4,112.3,26.6,Mid-Range,Moderate,Manipur
Pruning,SqueezeNet,Healthcare,91.9,89.4,28.9,13.2,557,368,16,Low-End,Poor,Madhya Pradesh
Quantization,ResNet50,Education,93.5,90.8,92,59,550.4,356.3,34.3,Low-End,Poor,Assam
Knowledge Distillation,SqueezeNet,Education,91.6,90.9,64.7,22.8,467,356.2,24.9,Low-End,Moderate,Madhya Pradesh
Weight Sharing,MobileNetV2,Education,83.2,82.3,92.8,64,513.8,291.8,35.1,Mid-Range,Moderate,Odisha
Pruning,ResNet50,Healthcare,90.5,90,77.2,50.7,286.3,197.5,24,Low-End,Poor,Andhra Pradesh
Quantization,MobileNetV2,Healthcare,89.7,88.6,58.5,32,488.5,272.4,20.8,Low-End,Good,Assam
Knowledge Distillation,MobileNet,Education,91.5,89.5,56.5,30.1,445.3,240.8,24.4,Low-End,Poor,Bihar
Weight Sharing,ResNet18,Agriculture,93.4,90.4,97.8,41.7,322.4,221.2,37.6,Low-End,Moderate,Rajasthan
Pruning,EfficientNet,Education,93.8,92.8,74.6,31.4,319.9,191.6,30.3,Mid-Range,Poor,Jharkhand
Quantization,EfficientNet,Healthcare,92.9,90.1,74,36.4,483,346.2,17.5,Mid-Range,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Healthcare,87.5,85.5,70.6,35.6,275.5,164.4,27.2,Low-End,Good,West Bengal
Weight Sharing,SqueezeNet,Agriculture,85.3,83.7,36.9,24,475.8,288.7,16.6,Low-End,Moderate,Jharkhand
Pruning,ResNet50,Education,87.1,85.9,13.1,8.4,391.5,263,17.1,Mid-Range,Poor,Andhra Pradesh
Quantization,SqueezeNet,Agriculture,86.3,84,7.5,4.7,204.3,113.6,24.1,Mid-Range,Poor,Odisha
Knowledge Distillation,ResNet50,Education,93.8,92.8,86.8,30.7,408.3,210.6,21.5,Mid-Range,Good,Jharkhand
Weight Sharing,ResNet18,Healthcare,93.8,92.7,17,7.2,544,408.5,13.4,Low-End,Good,Chhattisgarh
Pruning,ResNet18,Healthcare,86.3,84.1,61.5,36.1,596.8,359.7,39.8,Low-End,Moderate,Assam
Quantization,EfficientNet,Education,93.8,91.8,51.1,16.5,301,207.7,13.5,Low-End,Good,Jharkhand
Knowledge Distillation,ResNet18,Education,89.5,87.9,59.9,23.8,524.7,371,39.4,Low-End,Moderate,Assam
Weight Sharing,ResNet50,Healthcare,84.8,83.5,13.8,5.7,403.7,265.4,24,Mid-Range,Poor,Assam
Pruning,ResNet50,Education,88.3,87.4,61.3,26.4,327.6,245.1,13,Mid-Range,Moderate,Tamil Nadu
Quantization,MobileNetV2,Healthcare,84.6,82.5,24.2,11.8,191.8,140.1,20,Mid-Range,Good,Tamil Nadu
Knowledge Distillation,MobileNetV2,Agriculture,83.3,81.1,77.1,37.2,515,411.6,19.9,Low-End,Moderate,Bihar
Weight Sharing,SqueezeNet,Healthcare,89.7,88.8,42.7,27.1,480.4,257.7,33.4,Mid-Range,Poor,Manipur
Pruning,MobileNetV2,Education,93.4,90.5,24.6,8.5,269.4,135.3,38,Low-End,Good,Odisha
Quantization,EfficientNet,Agriculture,83.4,81.9,29.8,17.7,276,168,29.2,Mid-Range,Poor,Tamil Nadu
Knowledge Distillation,MobileNet,Education,91.9,90.9,75.3,31.6,343.7,248,33.3,Mid-Range,Good,Tamil Nadu
Weight Sharing,MobileNet,Agriculture,85.9,83.1,51.6,16.7,418.8,321.9,17.5,Low-End,Good,Andhra Pradesh
Pruning,ResNet18,Education,87.7,86.4,72.5,34,481.8,291.6,23.7,Mid-Range,Good,Jharkhand
Quantization,EfficientNet,Education,86.3,85.4,30.6,17.2,186.9,98.4,36.9,Mid-Range,Good,Bihar
Knowledge Distillation,EfficientNet,Education,85.8,85,91.6,56.9,384.7,292,21.4,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,SqueezeNet,Agriculture,86.6,85.5,77.8,30.1,391,243.5,19.9,Low-End,Poor,Assam
Pruning,MobileNetV2,Healthcare,90.7,89.4,57.6,20.5,152.9,95.5,35.3,Mid-Range,Good,Andhra Pradesh
Quantization,ResNet18,Education,90.9,89.7,41.2,25.8,497.3,335.8,11.2,Low-End,Moderate,Manipur
Knowledge Distillation,MobileNetV2,Agriculture,93.7,92.7,14.9,8.9,391.2,305.5,36.4,Low-End,Poor,Manipur
Weight Sharing,MobileNet,Agriculture,87.2,85.4,48.7,32.8,195.6,154.9,28.6,Mid-Range,Moderate,Uttar Pradesh
Pruning,ResNet18,Agriculture,87.8,86.8,26.3,11.4,595.1,412.6,20.5,Low-End,Poor,Jharkhand
Quantization,ResNet18,Agriculture,92.7,90.4,93.6,63.8,235.3,119,39.9,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,MobileNetV2,Education,87.7,86.1,36.5,24.6,410.8,317.7,37.4,Mid-Range,Moderate,Rajasthan
Weight Sharing,SqueezeNet,Healthcare,87.4,84.7,35.2,13.4,369,253.1,29.7,Low-End,Moderate,Bihar
Pruning,MobileNet,Education,85.5,84,83,41,283.3,190.8,14.5,Mid-Range,Poor,West Bengal
Quantization,EfficientNet,Education,93.9,91.8,14.9,7.8,300.5,199.7,29.9,Low-End,Good,Assam
Knowledge Distillation,ResNet50,Education,90.8,88.3,19.3,11.6,162.9,83.8,22.8,Mid-Range,Poor,Andhra Pradesh
Weight Sharing,ResNet50,Agriculture,93,90.2,92.9,36.6,367.4,258.5,36.4,Mid-Range,Poor,Rajasthan
Pruning,ResNet50,Education,85.5,84.5,18.6,10.4,289.4,181.3,14.4,Low-End,Poor,Odisha
Quantization,ResNet50,Education,93.8,91.1,48.9,19.8,225.3,140.4,29,Mid-Range,Poor,Andhra Pradesh
Knowledge Distillation,SqueezeNet,Agriculture,89.8,87.3,68.6,23.5,598.5,319.3,28.6,Mid-Range,Poor,Manipur
Weight Sharing,MobileNetV2,Education,90.1,88.8,77.2,41.2,193.7,101.6,11.4,Mid-Range,Good,Odisha
Pruning,ResNet50,Education,85,83.6,91.8,27.6,234.7,146.2,19.1,Low-End,Moderate,Rajasthan
Quantization,ResNet18,Healthcare,84.5,83.8,76.8,36.8,577.7,348.2,20.3,Mid-Range,Poor,Chhattisgarh
Knowledge Distillation,EfficientNet,Education,88.4,86.3,28.7,14.7,386.4,308.6,32,Mid-Range,Moderate,Chhattisgarh
Weight Sharing,ResNet50,Education,93.3,91.2,65,45.4,418.1,244.9,28.7,Mid-Range,Good,West Bengal
Pruning,ResNet50,Agriculture,92.8,90.8,53.1,31.4,249,152.6,27.9,Low-End,Moderate,Tamil Nadu
Quantization,ResNet50,Education,87.8,87.1,42.3,13,494.9,374,28.4,Mid-Range,Moderate,Andhra Pradesh
Knowledge Distillation,MobileNet,Agriculture,93.7,92.4,70.4,46.9,456.9,315.3,34.4,Mid-Range,Moderate,Rajasthan
Weight Sharing,ResNet50,Healthcare,89.1,88.3,40.8,19.5,471,253,36.7,Mid-Range,Poor,Chhattisgarh
Pruning,ResNet18,Agriculture,84.7,82,23.8,10.1,575.9,429.4,23.8,Low-End,Poor,West Bengal
Quantization,MobileNetV2,Agriculture,84.2,82,72,40,158,110.4,22.6,Low-End,Poor,Rajasthan
Knowledge Distillation,ResNet50,Education,88.6,86,70.4,33.8,522.5,300.7,38.8,Low-End,Moderate,Jharkhand
Weight Sharing,MobileNetV2,Agriculture,87.5,85,12.3,5,400.4,253.6,14.1,Low-End,Good,West Bengal
Pruning,MobileNet,Healthcare,87.8,84.9,59.8,28.4,486.5,250.3,25.4,Mid-Range,Good,Chhattisgarh
Quantization,MobileNetV2,Agriculture,85.8,82.9,5.9,2.1,474.5,352.4,25.9,Low-End,Good,Andhra Pradesh
Knowledge Distillation,MobileNet,Healthcare,83.1,82.3,42.5,24.9,234,157.4,33.3,Low-End,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Healthcare,87.5,86.7,86.7,30.2,305.8,202.1,37,Mid-Range,Good,Tamil Nadu
Pruning,EfficientNet,Education,87.6,85.2,77.9,39.1,347.1,213.8,20.7,Low-End,Poor,Odisha
Quantization,SqueezeNet,Education,90,88,19.4,7.8,441.2,305.8,27.1,Mid-Range,Moderate,Andhra Pradesh
Knowledge Distillation,ResNet18,Education,90,89.1,15.9,7.3,254.2,145.8,25.4,Mid-Range,Poor,Assam
Weight Sharing,EfficientNet,Agriculture,87.5,86.3,95.3,42.5,413.4,248.3,27.6,Mid-Range,Good,Manipur
Pruning,MobileNet,Education,93,91.6,26.9,9.7,256.2,156,20.9,Mid-Range,Moderate,Madhya Pradesh
Quantization,ResNet50,Agriculture,93.2,91.4,57.2,27.3,401.2,277.2,30.1,Mid-Range,Good,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Education,87.7,85.7,87.5,31.6,312.5,206.4,38.8,Mid-Range,Moderate,Odisha
Weight Sharing,MobileNetV2,Education,88.5,85.9,97.9,33,531.8,285,33.2,Mid-Range,Good,Madhya Pradesh
Pruning,ResNet18,Healthcare,87.6,84.7,84.8,33.1,163.3,127.1,34.7,Mid-Range,Moderate,Tamil Nadu
Quantization,MobileNetV2,Healthcare,90.9,90.3,38.7,15.9,474.6,319.8,36.6,Low-End,Poor,Uttar Pradesh
Knowledge Distillation,ResNet18,Agriculture,84.9,83.2,65.1,44.2,162.2,125.1,17.2,Low-End,Good,West Bengal
Weight Sharing,EfficientNet,Education,86.1,83.1,23.8,10,471.4,304.9,37.3,Low-End,Moderate,West Bengal
Pruning,ResNet18,Healthcare,84.2,83,30.7,13.1,158.1,100,26.9,Mid-Range,Good,Madhya Pradesh
Quantization,ResNet18,Healthcare,83.2,81.9,24.2,11.4,414.8,285.8,33.4,Low-End,Moderate,West Bengal
